Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2010,128258,Trinidad State College,00136800,1,Trinidad Campus,1916,0,0,0
2010,128258,Trinidad State College,00136800,2,Valley Campus,1916,0,0,0
2010,126614,University of Colorado Boulder,00137000,1,Main Campus,32697,1,0,1
2010,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,9745,0,0,0
2010,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,24108,0,1,2
2010,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,3,CU Denver - Anschutz Medical Campus,24108,0,0,0
2010,127060,University of Denver,00137100,1,University Park Campus,11842,0,0,0
2010,127741,University of Northern Colorado,00134900,1,Main Campus,13030,0,3,14
2010,128391,Western Colorado University,00137200,1,Main Campus,2325,0,0,0
2011,126182,Adams State University,00134500,1,Adams State University,3302,0,0,0
2011,126678,Colorado College,00134700,1,Colorado College,2043,0,0,1
2011,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9005,0,0,0
2011,127556,Colorado Mesa University,00135800,3,Colorado Mesa University - WCCC Campus,9005,0,0,0
2011,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5823,0,0,0
2011,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1291,0,0,0
2011,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,7174,0,0,0
2011,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,30467,1,4,12
2011,127158,Emily Griffith Technical College,00559600,1,Main Campus,2995,0,0,0
2011,127200,Front Range Community College,00793300,2,Larimer Campus,20568,0,1,0
2011,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),23789,0,1,0
2011,127617,Morgan Community College,00998100,1,MORGAN COMMUNITY COLLEGE,1885,0,0,0
2011,127653,Naropa University,02117500,1,Arapahoe Campus,1090,0,0,0
2011,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2154,0,1,7
2011,127778,Otero Junior College,00136200,1,Main Campus,1546,0,0,0
2011,128151,Pickens Technical College,01287500,1,Pickens Technical College,1302,0,0,0
2011,127918,Regis University,00136300,1,Northwest Denver Campus,11253,0,0,0
2011,128258,Trinidad State College,00136800,1,Trinidad Campus,1839,0,0,0
2011,128258,Trinidad State College,00136800,2,Valley Campus,1839,0,0,0
2011,126614,University of Colorado Boulder,00137000,1,Main Campus,32558,0,8,5
2011,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,10183,1,1,0
2011,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,22495,0,2,1
2011,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,3,CU Denver - Anschutz Medical Campus,22495,0,0,0
2011,127060,University of Denver,00137100,1,University Park Campus,11797,0,0,0
2011,127741,University of Northern Colorado,00134900,1,Main Campus,13038,0,14,31
2011,128391,Western Colorado University,00137200,1,Main Campus,2242,0,0,0
2012,126182,Adams State University,00134500,1,Adams State University,3290,0,0,0
2012,126207,Aims Community College,00758200,1,Greeley Campus,4983,0,0,0
2012,126678,Colorado College,00134700,1,Colorado College,2022,0,0,0
2012,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9482,0,0,0
2012,127556,Colorado Mesa University,00135800,3,Colorado Mesa University - WCCC Campus,9482,0,0,0
2012,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1158,0,0,0
2012,126775,Colorado School of Mines,00134800,1,Main Campus,5721,0,0,0
2012,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6805,0,0,0
2012,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,30659,0,0,29
2012,127200,Front Range Community College,00793300,2,Larimer Campus,20527,0,0,0
2012,127273,Iliff School of Theology,00135400,1,Main Campus,343,0,0,0
2012,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),23381,0,0,0
2012,127617,Morgan Community College,00998100,1,MORGAN COMMUNITY COLLEGE,1839,0,0,0
2012,127653,Naropa University,02117500,1,Arapahoe Campus,1019,0,0,0
2012,127778,Otero Junior College,00136200,1,Main Campus,1456,0,0,0
2012,128151,Pickens Technical College,01287500,1,Pickens Technical College,1378,0,0,0
2012,127884,Pueblo Community College,02116300,1,Main Campus,7432,0,0,0
2012,127884,Pueblo Community College,02116300,2,Pueblo Community College at Fremont,7432,0,0,0
2012,127918,Regis University,00136300,1,Northwest Denver Campus,10683,0,0,0
2012,454689,Taft University System,04100400,1,Main campus - The Taft University System,666,0,0,0
2012,128258,Trinidad State College,00136800,1,Trinidad Campus,1691,0,0,0
2012,128258,Trinidad State College,00136800,2,Valley Campus,1691,0,0,0
2012,126614,University of Colorado Boulder,00137000,1,Main Campus,31945,0,1,0
2012,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,10612,0,4,3
2012,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,22396,0,2,4
2012,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,3,CU Denver - Anschutz Medical Campus,22396,0,0,0
2012,127060,University of Denver,00137100,1,University Park Campus,11656,0,0,0
2012,127741,University of Northern Colorado,00134900,1,Main Campus,13070,0,0,0
2012,128391,Western Colorado University,00137200,1,Main Campus,2301,0,0,0
2013,126182,Adams State University,00134500,1,Adams State University,3211,0,0,0
2013,126207,Aims Community College,00758200,1,Greeley Campus,4955,0,0,0
2013,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,5368,0,0,0
2013,126678,Colorado College,00134700,1,Colorado College,2061,0,0,0
2013,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9676,0,0,0
