Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2006,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,8647,0,0,1,,,0,,,0,0,3,0,1
2006,127060,University of Denver,00137100,1,University Park Campus,10791,0,0,7,,,0,,,0,1,16,0,0
2006,127741,University of Northern Colorado,00134900,1,Main Campus,13363,0,0,4,,,0,,,0,0,28,0,1
2006,128391,Western Colorado University,00137200,1,Main Campus,2198,0,0,1,,,0,,,0,0,6,0,1
2007,126182,Adams State University,00134500,1,Adams State University,2830,0,0,5,,,0,,,0,0,7,0,0
2007,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2151,0,0,0,,,0,,,0,0,0,0,0
2007,126678,Colorado College,00134700,1,Colorado College,2075,0,0,3,,,0,,,0,0,15,0,0
2007,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6199,0,0,1,,,0,,,0,0,2,0,0
2007,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5206,0,0,0,,,0,,,0,0,0,0,0
2007,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1430,0,0,0,,,0,,,0,0,0,0,0
2007,126775,Colorado School of Mines,00134800,1,Main Campus,4560,0,0,0,,,0,,,0,0,4,0,0
2007,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,5908,0,0,1,,,0,,,0,1,3,0,1
2007,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,27569,0,0,3,,,0,,,0,0,6,0,1
2007,126979,Denver Seminary,00135200,1,Main Campus,858,0,0,0,,,0,,,0,0,0,0,0
2007,127185,Fort Lewis College,00135300,1,Main Campus,3928,0,0,0,,,0,,,0,5,13,0,0
2007,127273,Iliff School of Theology,00135400,1,Main Campus,199,0,0,0,,,0,,,0,0,1,0,0
