Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2014,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5705,1,2,2
2014,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1145,0,0,0
2014,126775,Colorado School of Mines,00134800,1,Main Campus,5962,0,4,0
2014,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,7256,0,4,12
2014,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,31354,0,14,17
2014,126979,Denver Seminary,00135200,1,Main Campus,944,0,0,0
2014,127185,Fort Lewis College,00135300,1,Main Campus,3791,0,22,34
2014,127273,Iliff School of Theology,00135400,1,Main Campus,333,0,0,0
2014,127389,Lamar Community College,00135500,1,Lamar Community College,839,0,0,0
2014,127653,Naropa University,02117500,1,Arapahoe Campus,996,0,2,0
2014,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),1776,0,4,31
2014,127778,Otero Junior College,00136200,1,Main Campus,1434,0,2,4
2014,127918,Regis University,00136300,1,Northwest Denver Campus,9208,0,0,0
2014,128258,Trinidad State College,00136800,1,Trinidad Campus,1783,0,0,0
2014,126614,University of Colorado Boulder,00137000,1,Main Campus,32432,0,75,108
2014,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,11761,0,29,4
2014,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,22791,0,1,0
2014,127060,University of Denver,00137100,1,University Park Campus,11809,0,5,11
2014,127741,University of Northern Colorado,00134900,1,Main Campus,12050,0,56,57
2014,128391,Western Colorado University,00137200,1,Main Campus,2584,0,5,4
2015,126182,Adams State University,00134500,1,Adams State University,3404,0,17,9
2015,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,6879,0,0,0
2015,126678,Colorado College,00134700,1,Colorado College,2131,0,0,0
2015,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9448,0,38,28
2015,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5806,0,7,10
2015,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1178,0,0,8
2015,126775,Colorado School of Mines,00134800,1,Main Campus,6054,0,3,9
2015,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,7563,0,4,21
2015,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,30614,0,33,32
2015,126979,Denver Seminary,00135200,1,Main Campus,929,0,0,0
2015,127185,Fort Lewis College,00135300,1,Main Campus,3707,0,12,32
2015,127273,Iliff School of Theology,00135400,1,Main Campus,340,0,0,0
2015,127389,Lamar Community College,00135500,1,Lamar Community College,777,0,0,0
2015,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),1498,0,12,14
2015,127778,Otero Junior College,00136200,1,Main Campus,1410,0,3,8
2015,127918,Regis University,00136300,1,Northwest Denver Campus,8725,0,0,0
2015,128258,Trinidad State College,00136800,1,Trinidad Campus,1660,0,0,1
2015,126614,University of Colorado Boulder,00137000,1,Main Campus,33056,3,163,234
2015,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,11988,0,12,8
2015,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,23671,0,0,0
2015,127060,University of Denver,00137100,1,University Park Campus,11797,0,1,1
2015,127741,University of Northern Colorado,00134900,1,Main Campus,12216,0,34,64
2015,128391,Western Colorado University,00137200,1,Main Campus,2722,0,25,8
2016,126182,Adams State University,00134500,1,Adams State University,3370,0,14,6
2016,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,7032,0,0,0
2016,126678,Colorado College,00134700,1,Colorado College,2114,0,0,0
2016,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9735,1,57,15
2016,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5806,0,0,1
2016,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1098,0,0,0
2016,126748,Colorado Northwestern Community College,00135900,2,Colorado Northwestern Community College-Craig Campus,1098,0,1,0
2016,126775,Colorado School of Mines,00134800,1,Main Campus,6069,0,1,1
2016,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,7802,0,7,23
2016,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,31856,0,40,61
2016,126979,Denver Seminary,00135200,1,Main Campus,901,0,0,0
2016,127185,Fort Lewis College,00135300,1,Main Campus,3600,0,6,45
2016,127273,Iliff School of Theology,00135400,1,Main Campus,311,0,0,0
2016,127389,Lamar Community College,00135500,1,Lamar Community College,791,0,0,0
2016,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),1645,0,3,13
2016,127778,Otero Junior College,00136200,1,Main Campus,1464,0,0,18
2016,127918,Regis University,00136300,1,Northwest Denver Campus,8368,0,0,0
2016,128258,Trinidad State College,00136800,1,Trinidad Campus,1654,0,1,1
2016,126614,University of Colorado Boulder,00137000,1,Main Campus,33977,1,176,202
2016,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,12559,0,8,9
2016,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,23960,0,0,0
2016,127060,University of Denver,00137100,1,University Park Campus,11614,0,1,0
2016,127741,University of Northern Colorado,00134900,1,Main Campus,13087,1,37,50
2016,128391,Western Colorado University,00137200,1,Main Campus,2908,0,13,10
2017,126182,Adams State University,00134500,1,Adams State University,3314,2,6,2
2017,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,7398,0,1,0
2017,126678,Colorado College,00134700,1,Colorado College,2118,0,2,2
2017,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9591,0,51,7
2017,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5934,0,0,1
2017,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1201,0,2,0
2017,126748,Colorado Northwestern Community College,00135900,2,Colorado Northwestern Community College-Craig Campus,1201,0,0,0
2017,126775,Colorado School of Mines,00134800,1,Main Campus,6209,0,5,19
2017,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6639,0,10,23
2017,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,33083,2,44,24
2017,126979,Denver Seminary,00135200,1,Main Campus,908,0,0,0
2017,127185,Fort Lewis College,00135300,1,Main Campus,3332,0,3,43
2017,127273,Iliff School of Theology,00135400,1,Main Campus,286,0,0,0
2017,127389,Lamar Community College,00135500,1,Lamar Community College,811,0,0,0
2017,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),1547,0,3,27
2017,127778,Otero Junior College,00136200,1,Main Campus,1330,0,2,11
2017,127918,Regis University,00136300,1,Northwest Denver Campus,8341,0,0,0
2017,480790,Rocky Vista University,04218900,1,Rocky Vista University College of Osteopathic Medicine,779,0,0,0
2017,128258,Trinidad State College,00136800,1,Trinidad Campus,1663,0,0,0
2017,128258,Trinidad State College,00136800,2,Valley Campus,1663,2,1,2
2017,126614,University of Colorado Boulder,00137000,1,Main Campus,35338,0,413,285
2017,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,12932,0,9,54
2017,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,24839,0,2,0
2017,127060,University of Denver,00137100,1,University Park Campus,11434,1,1,0
2017,127741,University of Northern Colorado,00134900,1,Main Campus,13399,0,22,52
2017,128391,Western Colorado University,00137200,1,Main Campus,2814,0,25,16
2018,126182,Adams State University,00134500,1,Adams State University,3110,0,4,0
2018,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,7625,0,0,0
2018,126678,Colorado College,00134700,1,Colorado College,2144,0,0,0
2018,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9492,0,15,4
2018,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5688,0,0,0
2018,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1154,0,0,0
2018,126748,Colorado Northwestern Community College,00135900,2,Colorado Northwestern Community College-Craig Campus,1154,0,0,0
2018,126775,Colorado School of Mines,00134800,1,Main Campus,6325,0,7,22
2018,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6736,0,9,18
2018,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,33478,0,26,19
2018,126979,Denver Seminary,00135200,1,Main Campus,885,0,0,0
2018,127185,Fort Lewis College,00135300,1,Main Campus,3319,0,0,9
2018,127273,Iliff School of Theology,00135400,1,Main Campus,263,0,0,0
2018,127389,Lamar Community College,00135500,1,Lamar Community College,754,0,0,0
2018,127653,Naropa University,02117500,1,Arapahoe Campus,953,0,0,0
2018,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),1492,1,3,10
2018,127778,Otero Junior College,00136200,1,Main Campus,1262,0,1,2
2018,127918,Regis University,00136300,1,Northwest Denver Campus,7907,0,0,0
2018,480790,Rocky Vista University,04218900,2,Rocky Vista University COM-SU,952,0,0,0
2018,128258,Trinidad State College,00136800,1,Trinidad Campus,1542,0,0,2
2018,128258,Trinidad State College,00136800,2,Valley Campus,1542,0,2,0
2018,126614,University of Colorado Boulder,00137000,1,Main Campus,36681,0,331,211
2018,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,13123,0,14,19
